id,titulo,autor,editorial,pags,isbn,ejemplares
923 M66c2,"Criolla Policarpa Salavarrieta II, La","Montoya de Umaña, Enriqueta",Instituto Colombiano de Cultura,136,-,1
863 P17a,"Animales Cautivos, Los - Oficios Infantiles, Los","Paredes Pardo, Jaime",Instituto Colombiano de Cultura,80,-,1
C868 P27h,"Haciendas de la Sabana a Vuela Pluma, Las","Perdomo E., José Ignacio",Instituto Colombiano de Cultura,152,-,1
923 J17v,Vida de Porfirio Barba Jacob,"Jaramillo Meza, Juan B.",Instituto Colombiano de Cultura,160,-,1
C862 D41b,"Blondinette - Gaitana, La",Díaz Díaz Oswaldo,Instituto Colombiano de Cultura,152,-,1
Pe863 L67c,Cuentos Peruanos. Antología,"López Albújar, Enrique",Instituto Colombiano de Cultura,176,-,1
923 L69m,Mis Contemporáneos,"Lozano y Lozano, Juan",Instituto Colombiano de Cultura,176,-,1
361.5 M86l,Lucha Contra el Hambre,"Muñoz Quevedo, Josue",Instituto Colombiano de Cultura,104,-,1
863 C27i1,"Ingenioso Hidalgo Don Quijote de la Mancha I, El","Cervantes Saavedra, Miguel de",Instituto Colombiano de Cultura,216,-,1
701 M66q,¿Qué es arte?,"Montaña, Antonio",Instituto Colombiano de Cultura,96,-,1
C861 G72s,Selección de Poemas,"Greiff, León de",Instituto Colombiano de Cultura,128,-,1
822 S31 h,Hamlet,"Shakespeare, William",Instituto Colombiano de Cultura,232,-,1
E863 I11 c,Cuentos Ecuatorianos II,"Icaza, Jorge",Instituto Colombiano de Cultura,128,-,1
917.081 G17r,Rastro de América,"García Peña, Roberto",Instituto Colombiano de Cultura,128,-,1
301.153 C45h,Hombre en el Mundo de la Máquinas,CIMPEC - O.E.A.,Instituto Colombiano de Cultura,96,-,1
C861 H69c,Cantos Intemporales,"Hoyos Parra, Dorian",Al Revés,98,-,1
C863 B94o,"Otra Gente, La","Buitrago, Fanny",Instituto Colombiano de Cultura,192,-,1
833 S13g,Guillermo Tell,"Schiller, Federico",Instituto Colombiano de Cultura,112,-,1
C863 C17c,Cuentos Colombianos. Antología,"Carrasquilla, Tomás",Instituto Colombiano de Cultura,200,-,1
808 C17c,Cantos a Bolívar. Antología,"Carranza, Eduardo",Instituto Colombiano de Cultura,208,-,1
C862 L25i,"Ifigenia - Aventura de Don Melón y Doña Endrina, La","Lemaitre, Eduardo",Instituto Colombiano de Cultura,148,-,1
869.3 A55c,Cuentos Portugueses. Antología,"Almeida, Viana de",Instituto Colombiano de Cultura,144,-,1
C868 A71t2,Transparencias de Colombia II,"Arciniegas, Germán",Instituto Colombiano de Cultura,128,-,1
C863 P46q,Quiriley,"Piñeros Corpas, Joaquín",Instituto Colombiano de Cultura,72,-,1
925 B18c,Copérnico,"Bateman, Alfredo D.",Instituto Colombiano de Cultura,136,-,1
C863 T78d,"Día Que terminó el Verano y Otros Cuentos, El","Truque, Carlos Arturo",Instituto Colombiano de Cultura,152,-,1
002 A66t,También Usted Puede Hacerlo,Anónimo,"Salvat Editores, S.A.",140,-,1
813 B25m,"Memorias de Mosby y Otros Relatos, Las","Bellow, Saul","Salvat Editores, S.A.",182,-,1
523 R65s,Secretos del Cosmos,"Roman, Colin A.","Salvat Editores, S.A.",188,-,1
823 S82i,"Isla del Tesoro, La","Stevenon, Robert Louis","Salvat Editores, S.A.",190,-,1
574 P46m,"Mente Humana, La","Pinillos, Jose Luis","Salvat Editores, S.A.",182,-,1
001 M47v,Visado Para el Futuro,"Miravitlles, Luis","Salvat Editores, S.A.",188,-,1
813 C51o,"Odisea Espacial 2001, Una","Clarke, Arthur C.","Salvat Editores, S.A.",190,-,1
900 M15c,"Conquista de la Tierra, La","Maluquer de Motes, Juan","Salvat Editores, S.A.",198,-,1
861 A66p,Poma de Mio Cid,Anónimo,"Salvat Editores, S.A.",156,-,1
508 G17i,Izquierda y Derecha en el Cosmos,"Gardner, Martin","Salvat Editores, S.A.",238,-,1
808 M47s,Sendero Cheyene,"Miranda, N.",Editorial 'Cies' Vigo,126,-,1
861 A66 p,Poema de Mío Cid,Anónimo,Alonso - Ediciones,128,-,1
C863 B27c,"Cuentos, Relatos y 'Miedo'","Bernal C., Juan de Dios",-,98,-,1
C861 C16v,"Voz en la Penumbra, La","Cañaveral, Jesús",Al Revés,100,-,1
590.1 C17c,"Conducta de los Animales, La","Carthy, J.D.","Salvat Editores, S.A.",178,-,1
595.7 H83m,"Mundo de los Insectos, El","Hugh Newman, L.","Salvat Editores, S.A.",188,-,1
V863 U85l,"Lanzas Coloradas, Las","Uslar Pietri, Arturo","Salvat Editores, S.A.",174,-,1
923 S16a1,Antonio Nariño I,"Santos Molano, Enrique",Instituto Colombiano de Cultura,104,-,1
923 S16a2,Antonio Nariño II,"Santos Molano, Enrique",Instituto Colombiano de Cultura,128,-,1
460 R68n,Nuestra Lengua en Ambos Mundos,"Rosenblat, Angel","Salvat Editores, S.A.",206,-,1
530 G15b,Biografía de la Física,"Gamow, George","Salvat Editores, S.A.",264,-,1
600 C51h,"Hombre y la Tierra, El","Clark, Ronald W…","Salvat Editores, S.A.",130,-,1
759 G15p,Pintura Contemporanea,"Gallego, Julián","Salvat Editores, S.A.",104,-,1
813 L29e,Este Inmenso Mundo,"Lewis, Sinclair","Salvat Editores, S.A.",166,-,1
822 S31r,Romeo y Julieta,"Shakespeare, William","Salvat Editores, S.A.",156,-,1
823 C31c,Cuentos de Canterbury,"Chaucer, Geoffrey","Salvat Editores, S.A.",190,-,1
823 W66f,Flush,"Woolf, Virginia","Salvat Editores, S.A.",154,-,1
833 M16r,Relato de mi Vida,"Mann, Thomas","Salvat Editores, S.A.",158,-,1
843 D18c,Cartas Desde mi Molino,"Daudet, Alphonse","Salvat Editores, S.A.",172,-,1
843 M18b,Bernardo Quesnay,"Maurois, André","Salvat Editores, S.A.",172,-,1
843 M18p,Pedro y Juan - Bola de Sebo,"Maupassant, Guy de","Salvat Editores, S.A.",188,-,1
843 V27f,"Faro del fin del Mundo, El","Verne, Julio","Salvat Editores, S.A.",174,-,1
853 M67m,"Mascarada, La","Moravia, Alberto","Salvat Editores, S.A.",152,-,1
861 B21a,Antología,"Becquer, Gustavo Adolfo","Salvat Editores, S.A.",180,-,1
861 G17r,Romancerro Gitano - Yerma,"García Lorca, Federico","Salvat Editores, S.A.",142,-,1
861 R68p,Poesía Española del Siglo de Oro,"Roslaes, Luis","Salvat Editores, S.A.",200,-,1
863 G69d,Duelo en el Paraíso,"Goytisolo, Juan","Salvat Editores, S.A.",214,-,1
862 B82h,Historia de una Escalera - Llegada de los Dioses,"Buero Vallejo, Antonio","Salvat Editores, S.A.",158,-,1
863 A51e,"Escándalo, El","Alarcón, Pedro Antonio de","Salvat Editores, S.A.",278,-,1
863 A51n,"Niño de la Bola, El","Alarcón, Pedro Antonio de","Salvat Editores, S.A.",198,-,1
863 C18a,Antología,"Castro, Rosalía de","Salvat Editores, S.A.",202,-,1
863 C25f,"Familia de Pascual Duarte, La","Cela, Camilo José","Salvat Editores, S.A.",178,-,1
808 A92d,Discusión en la Escuela y Otros Cuentos,"Averchenko, Arkady…",Instituto Colombiano de Cultura,168,-,1
869.3 Q82a,Alves & Cía.,"Queiroz, Eça de","Salvat Editores, S.A.",134,-,1
862 A76s,"Señorita de Treveles, La - Es mi Hombre","Arniches, Carlos","Salvat Editores, S.A.",198,-,1
863 D15c,Cinco Horas con Mario,"Delibes, Miguel","Salvat Editores, S.A.",192,-,1
615 M18m,"Médico Aconseja, El","Mascaro Porcar, José María","Salvat Editores, S.A.",184,-,1
863 M17u,Últimas Tardes con Teresa,"Marse, Juan","Salvat Editores, S.A.",278,-,1
863 M18a,Algunos Muchacho y Otros Cuentos,"Matute, Ana María","Salvat Editores, S.A.",188,-,1
864 O78e,Estudios Sobre el Amor,"Ortega y Gasset, José","Salvat Editores, S.A.",152,-,1
865 C12c,Cartas Marruecas,"Cadalso, José","Salvat Editores, S.A.",182,-,1
885 J26r,Recuerdos de Sócrates,Jenofonte,"Salvat Editores, S.A.",174,-,1
891.2 B85n,Novela Teatral,"Bulgakov, Mijail A.","Salvat Editores, S.A.",188,-,1
891.3 P88d,"Dubrovski - Relatos de Belkin, Los","Pushkin, Alejandro Sergievich","Salvat Editores, S.A.",182,-,1
891.3 P88h,"Hija del Capitán, La","Pushkin, Alejandro Sergievich","Salvat Editores, S.A.",146,-,1
891.3 S36c,Cuentos del Don,"Shólojov, Mijaíl Alexándrovich","Salvat Editores, S.A.",190,-,1
909 M15f,"Fundamentos del Siglo XX, Los","Maluquer de Montes, Juan","Salvat Editores, S.A.",220,-,1
E863 O78j,Juyungo,"Ortiz, Adalberto","Salvat Editores, S.A.",236,-,1
G863 A88p,"Papa verde, El","Asturias, miguel Ángel","Salvat Editores, S.A.",258,-,1
M863 F82c,Chac Mool y Otros Cuentos,"Fuentes, Carlos","Salvat Editores, S.A.",124,-,1
V863 G15t,Tierra Bajo los Pies,"Gallegos, Rómulo","Salvat Editores, S.A.",190,-,1
V863 O82c,Casas Muertas,"Otero Silva, Miguel","Salvat Editores, S.A.",186,-,1
292 G19d,"Dioses, Héroes y Monstruos","Gavaldá, Antonio C.",Editoial Mateu,320,-,1
133 G27h,Historia del Ocultismo,"Gérin-Ricard , L. de","Luis de caralt Editor, S.A.",308,-,1
842 M65t,"Tartufo - Escuela de los Maridos, La",Molière,Instituto Colombiano de Cultura,152,-,1
843 R12g,Gargantúa y Pantagruel,"Rabelais, François","Salvat Editores, S.A.",172,-,1
641 L84v,Viaje por las Cocinas del Mundo,"Lujan, Nestor","Salvat Editores, S.A.",206,-,1
759 O54c,Cien Obras Maestras de la Pintura,"Olivar, Marcial","Salvat Editores, S.A.",192,-,1
778 G17v,Vamos a Hablar de Cine,"García Escudero, José María","Salvat Editores, S.A.",166,-,1
780 V15a,Aproximación a la Música,"Valls Gorina, Manuel","Salvat Editores, S.A.",168,-,1
800 D41h,Hispanoamérica en su Literatura,"Díaz-Plaja, Guillermo","Salvat Editores, S.A.",180,-,1
813 H15m,"Maldición de los Dain, La","Hammett, Dashiell","Salvat Editores, S.A.",188,-,1
813 M25b,Benito Cereno,"Melville, Herman","Salvat Editores, S.A.",142,-,1
813 P61n,Narraciones Extraordinarias,"Poe, Edgar Allan","Salvat Editores, S.A.",192,-,1
813 T91a,"Aventuras de Tom Sawyer, Las","Twain, Mark","Salvat Editores, S.A.",190,-,1
822 S31h,Hamlet,"Shakespeare, William","Salvat Editores, S.A.",174,-,1
823 C66p,"Perro de los Baskerville, El","Conan Doyle, Sir Arthur","Salvat Editores, S.A.",172,-,1
823 D23r,Robinso Crusoe,"Defoe, Daniel","Salvat Editores, S.A.",228,-,1
823 D41c,"Cuento de Navidad - Grillo del Hogar, El","Dickens, Charles","Salvat Editores, S.A.",190,-,1
823 O69m,1984,"Orwell, George","Salvat Editores, S.A.",228,-,1
823 W 66f,Flush,"Woolf, Virginia","Salvat Editores, S.A.",156,-,1
823 W45r,"Retrato de Dorian Gray, El","Wilde, Oscar","Salvat Editores, S.A.",206,-,1
829.3 S94v,Viajes de Gulliver,"Swift, Jonathan","Salvat Editores, S.A.",192,-,1
833 G62w,Werther,"Goethe, Johann Wolfgang von","Salvat Editores, S.A.",176,-,1
833 H24n,Noches Florentinas - Memorias del Señor de Schnabelewopski,"Heine, Heinrich","Salvat Editores, S.A.",156,-,1
842 M65e,"Enfermero Imaginario, El; Médico a Palos, El",Molière,"Salvat Editores, S.A.",190,-,1
843 B15a,"Asunto Tenebroso, Un","Balzac, Honore de","Salvat Editores, S.A.",180,-,1
843 F19p,"Princesa de Cleves, La","Fayette, Madame de la","Salvat Editores, S.A.",180,-,1
843 M18d,"Desierto del Amor, El","Mauriac, François","Salvat Editores, S.A.",180,-,1
843 S82r,Relatos,Stendhal,"Salvat Editores, S.A.",162,-,1
843 V27e,Escuela de Robinsones,"Verne, Julio","Salvat Editores, S.A.",190,-,1
852 P47d,"Difunto Matías Pascal, El","Pirandello, Luigi","Salvat Editores, S.A.",228,-,1
853 P19d,"Diablo Sobre las Colinas, El","Pavese, Cesare","Salvat Editores, S.A.",166,-,1
860 R47a,Aproximación al Quijote,"Riquer, Martín de","Salvat Editores, S.A.",170,-,1
861 A56c,Cancionero y Romancero Español,"Alonso, Dámaso","Salvat Editores, S.A.",204,-,1
861 M11a,Antología Poética,"Machado, Antonio","Salvat Editores, S.A.",192,-,1
862 B17v,"Vida es Sueño, La; Alcalde de Zalamea, El","Barca, Calderón de la","Salvat Editores, S.A.",198,-,1
862 B26i,"Intereses Creados, Los","Benavente, Jacinto","Salvat Editores, S.A.",140,-,1
862 P66e,Eloisa Está Debajo de un Almendro,"Poncela, Enrique Jardiel","Salvat Editores, S.A.",174,-,1
862 R64c,"Celestina, La","Rojas, Fernando de","Salvat Editores, S.A.",192,-,1
862 V23f,"Fuente Ovejuna; Caballero de Olmedo, El","Vega, Lope de","Salvat Editores, S.A.",190,-,1
863 A51d,Doña Berta y otros Relatos,"Alas, Leopoldo 'Clarín'","Salvat Editores, S.A.",192,-,1
863 A52t,"Tierra de Nadie y Otros Relatos, La","Aldecoa, Ignacio","Salvat Editores, S.A.",194,-,1
863 A66f,"Florecillas de San Francisco, Las",Anónimo,"Salvat Editores, S.A.",182,-,1
863 A96t,Tiempos y Cosas,Azorín,"Salvat Editores, S.A.",164,-,1
863 B17b,"Busca, La","Baroja, Pío","Salvat Editores, S.A.",190,-,1
863 C25m,Mrs. Caldwell Habla con su Hijo,"Cela, Camilo José","Salvat Editores, S.A.",188,-,1
863 C27l,"Licenciado Vidriera y Otras Novelas Ejemplares, El","Cervantes Saavedra, Miguel de","Salvat Editores, S.A.",192,-,1
863 C86c,"Crónicas del Sochantre, Las","Cunqueiro, Álvaro","Salvat Editores, S.A.",166,-,1
863 D25h,"Hoja Roja, La","Delibes, Miguel","Salvat Editores, S.A.",192,-,1
863 F27b,"Bravos, Los","Fernandez Santos, Jesús","Salvat Editores, S.A.",198,-,1
863 F27v,Volvoreta,"Fernández Florez, Wenceslao","Salvat Editores, S.A.",182,-,1
863 G65c,"Caballero del Hongo Gris, El","Gomez de la Serna, Ramón","Salvat Editores, S.A.",180,-,1
863 M47a,Años y Leguas,"Miró, Gabriel","Salvat Editores, S.A.",190,-,1
863 P27t,Trafalgar,"Pérez Galdós, Benito","Salvat Editores, S.A.",188,-,1
863 Q82v,"Vida del Buscón Llamado Don Pablos, La","Quevedo, Francisco de","Salvat Editores, S.A.",190,-,1
863 S16a,Alfanhui,"Sánchez Ferlosio, Rafael","Salvat Editores, S.A.",166,-,1
863 S26b,"Bandido Adolescente, El","Sender, Ramón J.","Salvat Editores, S.A.",188,-,1
863 U61t,"Tía Tula, La","Unamuno, Miguel de","Salvat Editores, S.A.",188,-,1
863 V15j,Juanita la Larga,"Valera, Juan","Salvat Editores, S.A.",192,-,1
863A66l,"Lazarillo de Tormes - Diablo Cojuelo, El",Anónimo,"Salvat Editores, S.A.",182,-,1
864 O78 e,"Espectador, El","Ortega Y Gasset, José","Salvat Editores, S.A.",190,-,1
882 P58a,Alejandro y César,Plutarco,"Salvat Editores, S.A.",182,-,1
882 S63a,"Ayax, Antígona, Edipo Rey",Sófocles,"Salvat Editores, S.A.",182,-,1
891.3 A66m,"Mil y Una Noches (Antología), Las",Anónimo,"Salvat Editores, S.A.",170,-,1
891.3 C32n,Narraciones,"Chéjov, Antón Pávlovich","Salvat Editores, S.A.",174,-,1
891.3 D68j,"Jugador, El","Dostoievski, fedor","Salvat Editores, S.A.",190,-,1
891.3 G67c,Cuentos Rusos,"Gorki, Máximo…","Salvat Editores, S.A.",182,-,1
893.3 T65m,"Muerte de Iván Ilich, La; Diablo, El; Padre Sergio, El","Tolstoi, León","Salvat Editores, S.A.",190,-,1
930 P27h,"Humanidad Prehistórica, La","Pericot, Luis…","Salvat Editores, S.A.",198,-,1
A863 C67i,"Isla a mediodía y Otros Relatos, La","Cortázar, Julio","Salvat Editores, S.A.",202,-,1
A863 M15v,"Vínculo, El","Mallea, Eduardo","Salvat Editores, S.A.",178,-,1
A863 S17r,Recuerdos de Provincia,"Sarmineto, Domingo Faustino","Salvat Editores, S.A.",172,-,1
Ch863 D66c,Coronación,"Donoso, José","Salvat Editores, S.A.",188,-,1
G863 A88l,Leyendas de Gustemala,"Asturias, Miguel Ángel","Salvat Editores, S.A.",172,-,1
M863 Y16t,"Tierras Flacas, Las","Yáñez, Agustín","Salvat Editores, S.A.",232,-,1
915 P65d,"División del Mundo, La","Polo, Marco",Instituto Colombiano de Cultura,192,-,1
U863 OP62a,"Astillero, El","Onetti, Juan Carlos","Salvat Editores, S.A.",170,-,1
813 P62c,Cuentos Extraños y Maravillosos,"Poe, Edgar Allan",Instituto Colombiano de Cultura,104,-,2
891.3 T87p,"Primer Amor, El - Asia","Turguéniev, Iván Serguéyevich","Salvat Editores, S.A.",134,-,1
823 A88e2,Emma II,"Austen, Jane","Salvat Editores, S.A.",214,-,1
823 A88e1,Emma,"Austen, Jane","Salvat Editores, S.A.",168,-,1
C868 A71t1,Transparencias de Colombia I,"Arciniegas, Germán",Instituto Colombiano de Cultura,160,-,1
C863 A74o,Ocho Cuentistas Colombianos,"Arias Ramírez, Fernando",Instituto Colombiano de Cultura,144,-,1
C867 S15c,Cuando Bogotá Tuvo Tranvía,"Samper Gnecco, Andrés",Instituto Colombiano de Cultura,128,-,1
808 A74s,"Siete Vidas de Midas, Las","Ariza, Susana de",Instituto Colombiano de Cultura,126,-,1
C862 R29t,Teatro para Niños,"Reyes, Carlos José",Instituto Colombiano de Cultura,96,-,1
